Parametros	pH	Conductividad  Turbidez  Coliformes  Temperatura  Precipitaciones  Porcentaje_sal
Fuente_1	8.00	127		2	1	15    375     45.18     
Fuente_2	6.89    178		1	2 	9     402     34.25          
Fuente_3	7.95	289		0	1 	5     298     36.02          
Fuente_4	6.52	305		1	1 	12    320     41.89     
Fuente_5	7.04	164		1	1	17    255     43.35     
Fuente_6	6.79	253		0	2 	4     380     38.91     
Fuente_7	8.42	182		3	0 	7     235     41.65    
Fuente_8	7.23	211		2	0 	18    370     39.87    
Fuente_9	8.14	245		1	3 	8     405     37.56    
Fuente_10	6.87	183		1	2 	17    400     41.97     
Fuente_11	7.11	276		3	2 	11    367     29.45     
Fuente_12	7.46	200		0	0 	16    404     42.21     
Fuente_13	6.92	316		1	0 	9     295     41.67     
Fuente_14	7.94	185		1	1 	5     404     38.34     
Fuente_15	6.79	112		3	1 	23    299     40.99    
Fuente_16	8.13	198		2	2 	14    326     37.07     
Fuente_17	7.24	200		0	2 	6     205     42.11     
Fuente_18	6.87	287		3	0 	4     320     44.26    
Fuente_19	6.94	344		4	1 	15    415     41.18    
Fuente_20	7.19	315		2	1 	17    250     38.86     
Fuente_21	7.25	171		0	2 	12    301     39.03     
Fuente_22	6.49	221		1	3 	6     320     41.23    
Fuente_23	7.57	241		1	0 	9     285     42.10     
Fuente_24	7.14	306		2	0 	20    367     44.06     
Fuente_25	7.39	273		0	1 	18    215     41.12     


